Bayesian Optimization started: 2023-04-04 15:32:23.281225

LR: 0.008236341042381884, BS: 52, momentum: 0.8981333588722495 --- ADD5: 0.0
LR: 0.0007775653887957371, BS: 94, momentum: 0.9352064967988101 --- ADD5: 15.49
LR: 1.9483991587608948e-05, BS: 4, momentum: 0.8917963659257674 --- ADD5: 13.92
LR: 1.1708826933121317e-05, BS: 4, momentum: 0.9277073838265149 --- ADD5: 6.44
LR: 0.0006375868586953579, BS: 94, momentum: 0.8795100932100911 --- ADD5: 14.08
LR: 0.0005927503094524142, BS: 94, momentum: 0.9399496934972974 --- ADD5: 14.49
LR: 0.0012769783541496423, BS: 94, momentum: 0.95 --- ADD5: 14.01
LR: 1.0103350210355541e-07, BS: 44, momentum: 0.9226593434761116 --- ADD5: 0.0
LR: 0.00031694531469920285, BS: 94, momentum: 0.9202904563370778 --- ADD5: 11.75
LR: 0.0002405494514451891, BS: 94, momentum: 0.9103875099619314 --- ADD5: 6.57
LR: 0.00028774892736700784, BS: 104, momentum: 0.8856590133402145 --- ADD5: 14.76
LR: 0.00032486722408275957, BS: 102, momentum: 0.8884841142414611 --- ADD5: 15.58
LR: 0.0003691816872709063, BS: 102, momentum: 0.8594757968966577 --- ADD5: 13.12
LR: 0.00973560246346237, BS: 110, momentum: 0.9024589858781086 --- ADD5: 0.16
LR: 0.0005430140266013294, BS: 104, momentum: 0.85 --- ADD5: 14.7
LR: 0.00015634572587274763, BS: 102, momentum: 0.9011303460832302 --- ADD5: 6.24
LR: 0.00013356714639967596, BS: 58, momentum: 0.8840329928552758 --- ADD5: 8.36
LR: 0.0006877803206696155, BS: 102, momentum: 0.9220650357403496 --- ADD5: 15.54
LR: 0.0006043852918607869, BS: 102, momentum: 0.95 --- ADD5: 14.59
LR: 0.0009240629098054626, BS: 94, momentum: 0.8662246597120117 --- ADD5: 15.04
LR: 0.0013014494945541326, BS: 102, momentum: 0.9140893614421564 --- ADD5: 13.83
LR: 0.0011501025311930592, BS: 122, momentum: 0.9251317658783413 --- ADD5: 12.29
LR: 0.0008131083939654303, BS: 102, momentum: 0.85 --- ADD5: 14.41
LR: 0.0004985305290041782, BS: 94, momentum: 0.861223873491469 --- ADD5: 14.42
LR: 2.6898636468227246e-07, BS: 20, momentum: 0.8578215359762521 --- ADD5: 0.0
LR: 0.00012272946825913288, BS: 60, momentum: 0.95 --- ADD5: 9.77
LR: 0.0006819528730693279, BS: 96, momentum: 0.9475354358678414 --- ADD5: 15.23
LR: 0.002212210584755051, BS: 96, momentum: 0.9369852434221835 --- ADD5: 11.34
LR: 1.1157929695926944e-07, BS: 52, momentum: 0.8837073896849486 --- ADD5: 0.0
LR: 0.0002777749727586332, BS: 96, momentum: 0.9269095606151979 --- ADD5: 9.09
